#{"t_start": 1750332916.082901, "env_id": "None"}
r,l,t
-2.362209,13,0.529096
-2.179107,18,0.617735
-2.015932,24,0.729787
-1.8599275,26,0.772028
-1.7016437,26,0.772078
-4.1747236,27,0.793392
-4.6334095,33,0.916819
-2.0430007,22,0.958479
-4.0922036,35,0.958537
-5.0803847,53,1.292976
-3.8617895,61,1.45185
-4.498478,73,1.661678
-0.19681333,74,1.676283
-5.211173,51,1.694235
-3.7530687,76,1.71328
-0.69787765,51,1.735075
-2.5503378,80,1.798763
-5.3994946,67,1.90164
-3.035812,92,2.093018
-3.9011867,21,2.254636
-0.6061765,46,2.446268
-4.0869174,109,2.483708
-1.2661655,35,2.506906
-2.912177,84,2.506973
-2.9207911,75,2.506988
0.4937087,86,2.570914
-1.4546268,35,2.611307
1.1575677,117,2.645201
-1.3504305,31,2.755691
0.8924344,89,2.773113
-6.394114,133,2.951679
-4.4321136,82,2.991579
-6.1043634,139,3.051354
-0.13196859,68,3.107998
-4.2823215,32,3.108079
-3.3746045,69,3.108097
-0.47865987,49,3.202716
-2.586172,74,3.253907
3.1353014,151,3.273563
-4.623786,34,3.273614
-3.6116257,13,3.34747
-6.0778565,75,3.443074
-0.22277497,56,3.491608
-3.810623,20,3.565695
-1.3815271,38,3.674816
-5.106599,61,3.732736
-5.336285,70,3.807347
-1.8220551,27,3.916021
-2.2470627,17,3.97394
-0.95823234,43,4.029649
-4.743277,39,4.253623
-5.8546157,85,4.304406
-6.183087,80,4.475791
-1.3358603,31,4.510852
-4.1991243,101,4.570306
-5.2857795,62,4.588964
-3.3911605,72,4.623948
-0.619127,49,4.650372
1.1979808,120,4.668653
-4.226424,88,4.668718
-2.140125,21,4.668735
-3.5069633,198,4.687849
0.0061093164,61,4.808854
-1.8654174,98,5.028154
-7.8577657,140,5.028204
-2.1342385,19,5.04964
1.3438011,111,5.113639
-2.448296,13,5.279817
-1.3535663,34,5.302254
-5.8220763,78,5.315403
-0.50867337,164,5.536134
-0.5077489,56,5.599422
2.707907,153,5.715209
-4.71151,38,5.731875
-3.073092,95,5.749157
3.0249712,139,5.782283
-3.7568586,18,5.935973
-0.45199138,56,6.115789
-1.9166958,25,6.176198
-3.4734805,86,6.244267
0.76046944,102,6.335659
2.2528465,117,6.365922
-3.9231756,24,6.54865
-4.9559293,52,6.638562
0.22292435,119,6.797671
-6.7097654,122,6.868666
0.8186417,115,6.868729
-3.5918272,64,6.899213
-7.335699,131,6.928463
-0.77094704,135,6.93143
-1.9051825,20,6.973413
-2.2833555,96,7.016262
-8.492937,150,7.323756
0.2291026,114,7.362398
0.8197665,131,7.37708
-1.5146856,68,7.530552
-4.5637794,38,7.546822
-2.266896,15,7.579038
-3.2353055,87,7.923365
-3.9773784,22,7.944698
-6.787139,137,8.00777
-7.044816,152,8.026156
-4.7140613,119,8.056728
