#{"t_start": 1750331806.7716749, "env_id": "None"}
r,l,t
-3.7872756,17,11.264163
-3.7850633,17,11.264239
-3.839366,19,11.303263
-2.2517707,20,11.321858
-1.8779405,25,11.416474
-3.882986,26,11.428885
-1.6249676,32,11.532389
-4.49092,35,11.582556
-1.3697138,33,11.853367
-3.7983544,56,11.960505
-1.4754486,62,12.069887
-2.7015505,73,12.278654
-3.695689,60,12.402677
-4.020742,83,12.455325
-4.6484857,33,12.455384
-1.1200187,60,12.496853
-3.1956942,86,12.518768
-5.006947,86,12.518848
-0.077856906,57,12.584079
-5.184247,72,12.584174
-5.3525186,73,12.640527
-3.2085102,107,12.894053
-1.6991675,108,12.904158
-2.334381,87,12.993182
-3.7996094,19,13.219216
2.5995634,130,13.285342
-2.4126883,59,13.318779
-1.1517047,48,13.458212
-1.7749834,140,13.458283
-5.587076,140,13.458302
-1.7224034,144,13.525637
-1.7838455,65,13.633133
-4.365713,39,13.667883
-3.738776,16,13.736805
-3.1280625,74,13.752094
-1.6894587,70,13.782235
1.8537154,110,14.00544
-2.107413,22,14.031577
-5.9361243,143,14.09973
-5.1761823,48,14.134998
-4.28993,130,14.253619
-3.6718314,100,14.253697
0.24476852,64,14.321081
-3.611983,109,14.358904
-3.5480273,84,14.358981
-2.3583236,115,14.521784
-3.4719348,61,14.585544
-1.4285742,67,14.618337
-3.6411595,68,14.642467
-4.233053,23,14.6665
-0.23024178,60,14.68575
-5.2336006,63,14.894796
-1.7949295,24,15.022759
-0.86224544,44,15.111381
-1.1309525,39,15.216994
-0.3494009,54,15.217066
-4.1515174,66,15.323638
-3.0662048,167,15.342127
-2.2998505,24,15.533692
-3.3895876,173,15.599808
-3.1267734,77,15.709014
-1.5282266,30,15.72884
-3.8340726,117,15.786511
-5.105216,51,15.899304
-0.7908197,110,15.986323
-1.7378706,26,15.986378
-5.9677567,79,16.055826
-1.6644843,133,16.089281
-2.1392245,89,16.247645
-7.642961,111,16.325035
-4.1195664,23,16.44165
-4.3505673,27,16.538287
-2.6524365,79,16.687083
-1.1636853,46,16.786108
-3.7878208,158,16.786198
-3.2203288,80,16.997703
-2.028149,102,16.997777
-4.4415574,121,17.013645
-5.1407905,216,17.067942
-0.4421269,140,17.101717
-2.6590445,107,17.223642
-2.3278713,91,17.329867
-2.489756,158,17.428323
-2.359249,21,17.488132
1.5042223,197,17.579484
0.3932919,70,17.699918
-2.114895,84,17.738036
-6.4828324,83,17.795123
-4.0965514,31,17.881538
-7.850953,121,17.881604
-1.3003831,38,18.101903
-1.273402,136,18.204277
-5.8768945,138,18.360127
-3.8597515,92,18.439224
-2.5579162,108,18.498676
-2.081049,111,18.724185
-5.1794386,55,18.821146
-2.4179542,102,18.891833
1.376372,115,18.891932
-0.2652564,63,18.913131
-5.3260803,165,18.989108
-4.536296,31,19.05904
-6.762426,120,19.188718
0.3218286,123,19.321246
-3.5194812,135,19.44464
-3.9523544,22,19.724611
-1.8270185,90,19.86024
-1.4037663,130,20.05343
-3.9028573,158,20.074341
0.6316423,123,25.997572
-1.0805572,42,26.093373
-1.1486753,77,26.162591
-6.1837983,156,26.232886
-6.6659217,127,26.311214
-7.8630424,140,26.330652
-2.1956367,23,26.381409
0.8858141,119,26.544537
-4.557926,111,26.601262
-3.6399345,101,26.656482
-1.344174,32,26.739693
-4.444241,105,26.818952
0.9775439,142,26.852557
-2.6889427,119,26.952056
-1.5978056,31,26.952111
-6.694464,121,26.972498
-2.9718246,81,27.057827
2.3471072,138,27.188857
-1.8671342,26,27.410763
0.6737689,83,27.539258
-4.4525585,44,27.637599
-3.8492813,26,27.69544
-3.371183,93,27.824079
-3.7206616,239,27.858022
-3.595003,102,27.85809
-0.5180175,51,28.017511
-1.530231,30,28.08778
-0.83164024,84,28.225533
-2.8313124,88,28.245144
1.0624083,81,28.245226
-3.5341954,97,28.358392
-6.19384,126,28.550917
-0.9052769,46,28.683521
-1.9131553,96,28.766531
-3.412597,168,28.874025
-2.2735758,69,28.952914
-6.295363,143,28.993079
-0.9427455,40,29.01074
-4.1059895,25,29.051158
-3.9214182,217,29.102893
-2.351204,13,29.122455
-0.96905625,125,29.211831
-4.3165164,36,29.375083
-7.541611,137,29.511175
-3.2393305,174,29.555938
-2.385266,73,29.610769
-2.1016753,26,29.675833
-3.4448712,95,29.820705
-3.4379218,79,30.40721
-6.7335196,138,30.407267
-7.378187,131,30.65416
-1.5144737,140,30.677029
0.71247214,127,30.704403
-1.2669896,71,30.87304
-6.8755603,121,31.013526
-2.511604,69,31.072735
-3.671575,88,31.2434
-4.3542986,33,31.298719
-6.9017715,123,31.298768
1.9142634,133,31.436567
-7.376202,130,31.475779
-7.503227,124,31.646733
-0.79710627,37,31.692804
-4.3612747,34,31.712233
-1.0401081,71,31.752882
-5.382531,233,31.776699
-2.018117,151,31.909393
-6.060385,137,32.046054
-1.0302885,39,32.173881
-7.5937934,177,32.214223
-5.348534,59,32.37986
-3.9382415,254,32.400457
-4.2248535,26,32.655941
2.0502014,127,32.723613
-3.7493236,168,32.723683
-4.493823,96,32.927953
-6.982883,124,32.928017
0.22903432,134,33.08053
-3.5719552,15,33.167473
-0.034279022,69,33.330729
-4.1518674,36,33.330795
-1.8935463,99,33.375528
-3.028156,94,33.396495
-1.6249088,28,33.443149
0.31793386,123,33.4749
-0.098573804,63,33.474949
0.84882724,116,33.527614
-7.133104,151,33.560996
-2.484877,114,33.709527
-2.7714946,85,33.857108
0.9895357,124,33.887024
-2.7219684,118,33.979851
1.1615907,121,34.199659
-6.89536,141,34.278494
-4.8327537,56,34.577163
-4.801352,45,34.626269
-4.2836843,102,34.65361
-2.5810342,81,34.668398
-1.5829759,67,34.74753
