#{"t_start": 1750334544.6066358, "env_id": "None"}
r,l,t
-3.8260837,19,37.918959
-3.9401965,21,37.957199
-4.092754,23,37.995306
-1.736532,23,37.995377
-1.8801346,24,38.013523
-4.4732413,33,38.208211
-1.727425,35,38.23782
-4.496249,38,38.285389
-4.4959645,43,38.379186
-4.698565,45,38.416643
-4.903095,50,38.511617
-1.7143972,29,38.556106
-4.9986277,53,38.573023
-4.9976907,53,38.573093
-5.101581,60,38.687733
-0.25848225,62,38.733984
-0.9450718,38,38.944535
-3.9813464,21,38.96977
-4.198645,25,38.988766
-5.4029064,66,39.222259
-1.2687323,39,39.259757
-4.832631,49,39.279974
-1.9798505,23,39.360444
-1.5653844,25,39.414938
-2.6289062,76,39.43477
-2.2287169,13,39.597961
-4.816758,64,39.732078
-4.236738,118,39.750613
-0.91097564,123,39.856837
-4.23424,34,39.856908
-6.981345,124,39.871902
-2.1052585,20,39.95819
-3.6315346,14,40.006101
-3.6256888,14,40.099204
-4.578824,41,40.167782
-4.7643924,45,40.226684
-4.011288,21,40.243997
-1.948256,113,40.26752
-4.1657104,25,40.305599
2.5197885,137,40.484417
-1.9808375,24,40.703533
0.6515501,114,40.817769
-5.632525,162,40.923045
2.1805894,185,41.002979
-5.0400243,58,41.089284
-0.19936676,62,41.106253
-2.778474,76,41.147188
2.5633402,137,41.223239
-3.8566043,201,41.298883
-5.4137697,64,41.298948
-1.9680557,23,41.354501
-1.7561305,36,41.388283
2.2144012,117,41.417381
-7.9861846,170,41.529831
-2.5822496,14,41.585037
-4.2584014,29,41.644734
-2.2980168,188,41.72631
-4.066785,23,41.839238
-2.391925,96,41.992975
-7.7160482,150,42.007714
-1.1791979,50,42.10041
-2.5392377,91,42.134615
-4.030036,71,42.385118
-7.633583,116,42.421447
-4.436962,39,42.44014
-1.7082261,26,42.469139
-3.9270368,26,42.483633
-1.203094,55,42.583627
-5.869464,132,42.644174
-4.598446,201,42.644235
-4.6417804,29,43.009398
-6.0512786,155,43.070146
-2.0663831,92,43.10555
-2.1531384,124,43.144409
-4.671241,36,43.2128
-5.2718067,62,43.295492
-3.9669275,19,43.400263
-8.029927,115,43.41591
-1.0379493,41,43.439191
-5.8099933,76,43.569597
-3.22705,64,43.590331
1.3804201,113,43.63608
-6.0660124,157,43.891435
-2.2226772,71,43.987125
-4.484817,126,44.006222
-4.848197,82,44.022851
-4.4020085,32,44.180805
0.20154434,63,44.259642
-4.728242,42,44.322719
-2.6495373,100,44.435091
-3.8183808,178,44.534467
-3.829541,150,44.581791
-4.5116124,38,44.648616
-1.2956536,38,44.665045
-5.1128516,73,44.711308
-2.2841077,76,44.741506
-4.3306036,33,44.741581
-1.6014191,31,44.791937
-4.0654125,26,44.892349
-8.417663,214,44.968516
2.1589193,107,44.98964
-2.1907544,16,44.989705
-3.8987007,19,45.247687
-3.6421096,15,45.289414
1.6233474,116,45.369729
-2.266351,24,45.401006
-7.5858026,120,45.576873
-3.338603,97,45.623304
-1.0607479,37,45.681089
-6.392846,94,45.698531
-8.369901,153,45.756515
0.2777895,66,45.772392
2.5340748,129,45.981415
-2.323355,20,46.023313
0.113996975,68,46.085397
-6.5605297,201,46.166155
2.120685,177,46.434582
-4.379181,22,46.434655
-0.8137015,119,46.527221
-6.0083146,69,46.585325
-2.9451632,105,46.607373
-0.44970974,52,46.683999
-1.6404924,27,46.928483
-4.6153975,46,47.005608
