#{"t_start": 1750518619.9899452, "env_id": "None"}
r,l,t
-30.524927,31,4.691999
-24.268347,45,5.230369
-25.847696,48,5.348301
-26.779636,52,5.501092
-33.01085,76,6.467684
-51.7928,87,6.897936
-37.290897,74,7.600221
-43.5347,117,8.061029
-57.47194,118,8.101461
-45.231945,121,8.221918
-41.92744,125,8.379587
-9.102664,13,8.61341
-58.19103,137,8.850078
-31.355368,93,8.88756
-49.058376,90,8.887609
-30.872288,63,8.926616
-50.77028,147,9.243079
-25.234879,70,9.633571
-28.515179,32,10.165382
-21.681652,38,10.427567
-59.775238,128,10.559647
-32.593594,77,10.637471
-39.81099,73,10.951289
-18.213657,33,10.951342
-32.258274,78,11.707867
-48.39473,132,13.462461
-41.015167,109,13.582889
-27.31829,67,13.625697
-46.742065,121,13.661341
-47.688557,122,13.733899
-33.664715,97,14.485953
-15.372037,22,14.524319
-57.97368,171,15.129306
-28.992603,93,15.365952
-33.98009,115,15.511491
-25.8498,53,15.674756
-42.607372,147,15.997437
-24.310452,44,16.261612
-9.753444,15,16.261665
-25.058586,64,16.261677
-28.634794,58,16.761393
-19.090708,33,17.602218
-15.861625,35,17.682863
-31.487995,65,17.755126
-50.09661,188,18.018332
-24.296234,50,18.279084
-23.416487,61,18.427524
-25.590727,78,18.514809
-47.939445,136,18.872999
-14.714891,25,19.279038
-22.12553,48,19.55184
-52.460026,163,20.160554
-24.684229,65,20.34553
-17.622068,38,20.474313
-11.691141,25,20.592086
-15.725337,34,20.722424
-26.32352,70,20.944205
-32.947086,81,21.094813
-9.936855,10,21.321425
-41.726868,144,21.369299
-27.220097,78,21.717848
-11.835657,29,21.892341
-15.946222,16,22.003773
-15.04464,26,22.109345
-16.124975,44,22.109421
-34.689754,133,22.184055
-103.7661,306,22.726477
-33.426746,108,22.850167
-23.456514,72,23.087429
-33.71886,71,23.330378
-23.29707,51,30.637451
-19.510412,33,30.890991
-27.537312,88,31.583332
-24.57593,87,32.230675
-17.247885,70,32.271272
-16.824224,37,32.397678
-25.778204,91,32.524135
-39.041378,130,32.565943
-39.353886,136,34.152348
-30.99594,133,34.431656
-17.428034,43,34.473459
-38.96161,114,34.640087
-41.392635,141,34.822445
-31.02615,71,35.331718
-43.29842,100,35.849752
-51.174095,129,36.077279
-44.111584,123,37.441435
-24.82546,75,37.493967
-26.651718,85,37.580385
-22.66658,64,37.927896
-59.669956,203,38.480418
-32.96085,103,39.067065
-15.024859,37,39.497568
-34.574013,124,39.728979
-26.655458,94,39.729042
-24.197632,63,40.106536
-10.268378,16,40.399005
-25.646475,75,40.643103
-45.104916,156,40.89676
-31.416893,117,41.00098
-24.001394,67,41.395121
-9.0900545,25,41.524302
-27.5464,94,41.625177
-25.37704,71,42.623987
-26.708403,68,42.764087
-14.510541,29,42.93362
-23.543365,83,43.888292
-24.121487,67,44.084722
-79.84043,270,44.248234
-36.107548,120,44.38976
-79.30193,285,44.67415
-28.703058,86,45.326452
-22.66294,65,45.441238
-23.569935,61,45.564947
-18.592659,51,46.171015
-31.79096,125,46.387145
-21.068434,61,46.750087
-36.544643,127,46.979017
-20.92011,64,48.006731
-17.014645,35,48.360337
-23.94746,111,48.477504
-41.09657,144,48.834494
-26.334908,66,48.873962
-28.500948,86,48.98606
